Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Lance Alworth,/A/AlwoLa00.htm,FL-WR,1,11,1972,False,0,7,6,1,0
Pervis Atkins,/A/AtkiPe00.htm,FL-HB-WR,0,6,1966,False,0,0,0,0,0
Gary Ballman,/B/BallGa00.htm,FL-TE-SE-WR,0,12,1973,False,0,2,0,0,0
Eppie Barney,/B/BarnEp00.htm,FL,0,2,1968,False,0,0,0,0,0
Terry Barr,/B/BarrTe00.htm,HB-DB-FL,0,9,1965,False,0,2,0,0,0
Fred Biletnikoff,/B/BileFr00.htm,WR-FL,1,14,1978,False,0,6,2,1,0
Marlin Briscoe,/B/BrisMa00.htm,WR-QB-FL,0,9,1976,False,0,1,0,2,0
Gino Cappelletti,/C/CappGi00.htm,FL-SE-DB-WR-K,0,11,1970,False,0,5,0,0,0
Ken Carpenter,/C/CarpKe00.htm,HB-FL,0,11,1960,False,0,1,0,0,0
Bernie Casey,/C/CaseBe00.htm,HB-FL-TE-WR,0,8,1968,False,0,1,0,0,0
Howard Cassady,/C/CassHo00.htm,HB-SE-FL,0,8,1963,False,0,0,0,0,0
Joe Childress,/C/ChilJo00.htm,HB-FB-FL,0,10,1965,False,0,0,0,0,0
Leon Clarke,/C/ClarLe00.htm,E-FL,0,8,1963,False,0,1,0,0,0
Gary Collins,/C/CollGa00.htm,FL-WR-P,0,10,1971,False,0,2,0,0,0
Bobby Joe Conrad,/C/ConrBo00.htm,FL-DB-HB-WR-K,0,12,1969,False,0,1,1,0,0
Bob Coolbaugh,/C/CoolBo00.htm,FL-WR,0,1,1961,False,0,0,0,0,0
Eric Crabtree,/C/CrabEr00.htm,WR-SE-FL-DB,0,6,1971,False,0,0,0,0,0
Dobie Craig,/C/CraiDo00.htm,FL-WR-HB,0,3,1964,False,0,0,0,0,0
Carroll Dale,/D/DaleCa00.htm,WR-TE-FL,0,14,1973,False,0,3,0,2,0
Al Denson,/D/DensAl00.htm,FL-TE-SE-WR,0,8,1971,False,0,2,0,0,0
Buddy Dial,/D/DialBu00.htm,SE-FL,0,8,1966,False,0,2,0,0,0
