Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Andrew Adams,/A/AdamAn00.htm,FS,0,4,2019,True,0,0,0,0,0
Adrian Amos,/A/AmosAd00.htm,FS,0,5,2019,True,0,0,0,0,0
Tim Atchison,/A/AtchTi00.htm,FS,0,1,2011,False,0,0,0,0,0
Dion Bailey,/B/BailDi00.htm,FS,0,2,2015,False,0,0,0,0,0
Budda Baker,/B/BakeBu00.htm,FS,0,3,2019,True,0,2,1,0,0
Lonnie Ballentine,/B/BallLo00.htm,FS,0,3,2016,False,0,0,0,0,0
Jessie Bates,/B/BateJe00.htm,FS,0,2,2019,True,0,0,0,0,0
Tre Boston,/B/BostTr00.htm,FS,0,6,2019,True,0,0,0,0,0
John Boyett,/B/BoyeJo00.htm,FS,0,1,2014,False,0,0,0,0,0
Terrence Brooks,/B/BrooTe00.htm,FS,0,6,2019,True,0,0,0,0,0
C.B. Bryant,/B/BryaC.00.htm,FS,0,3,2016,False,0,0,0,0,0
Deon Bush,/B/BushDe00.htm,FS,0,4,2019,True,0,0,0,0,0
D.J. Campbell,/C/CampD.00.htm,FS,0,2,2013,False,0,0,0,0,0
Sean Cattouse,/C/CattSe00.htm,FS,0,2,2013,False,0,0,0,0,0
Sean Chandler,/C/ChanSe00.htm,FS,0,2,2019,True,0,0,0,0,0
Chuck Clark,/C/ClarCh00.htm,FS,0,3,2019,True,0,0,0,0,0
Ha Ha Clinton-Dix,/C/ClinHa00.htm,FS,0,6,2019,True,0,1,0,0,0
Demetrious Cox,/C/CoxxDe00.htm,FS,0,1,2017,False,0,0,0,0,0
Jordan Dangerfield,/D/DangJo00.htm,FS,0,6,2019,True,0,0,0,0,0
Sean Davis,/D/DaviSe00.htm,FS,0,4,2019,True,0,0,0,0,0
Jonathan Dowling,/D/DowlJo00.htm,FS,0,1,2014,False,0,0,0,0,0
Josh Evans,/E/EvanJo00.htm,FS,0,4,2016,False,0,0,0,0,0
Clayton Fejedelem,/F/FejeCl00.htm,FS,0,4,2019,True,0,0,0,0,0
Minkah Fitzpatrick,/F/FitzMi00.htm,FS,0,2,2019,True,0,1,1,0,0
Kavon Frazier,/F/FrazKa00.htm,FS,0,4,2019,True,0,0,0,0,0
T.J. Green,/G/GreeT.00.htm,FS,0,4,2019,True,0,0,0,0,0
Jakar Hamilton,/H/HamiJa00.htm,FS,0,2,2014,False,0,0,0,0,0
Brandon Hardin,/H/HardBr01.htm,FS,0,1,2012,False,0,0,0,0,0
Duron Harmon,/H/HarmDu00.htm,FS,0,7,2019,True,0,0,0,3,0
Delano Hill,/H/HillDe02.htm,FS,0,3,2019,True,0,0,0,0,0
Malik Hooker,/H/HookMa00.htm,FS,0,3,2019,True,0,0,0,0,0
DeAndre Houston-Carson,/H/HousDe00.htm,FS,0,4,2019,True,0,0,0,0,0
Marqueston Huff,/H/HuffMa00.htm,FS,0,3,2016,False,0,0,0,0,0
Godwin Igwebuike,/I/IgweGo00.htm,FS,0,1,2018,False,0,0,0,0,0
George Iloka,/I/IlokGe00.htm,FS,0,7,2018,False,0,0,0,0,0
Natrell Jamerson,/J/JameNa00.htm,FS,0,2,2019,True,0,0,0,0,0
Tony Jefferson,/J/JeffTo00.htm,FS,0,7,2019,True,0,0,0,0,0
Rayshawn Jenkins,/J/JenkRa00.htm,FS,0,3,2019,True,0,0,0,0,0
Dontae Johnson,/J/JohnDo02.htm,FS,0,6,2019,True,0,0,0,0,0
Desmond King,/K/KingDe01.htm,FS,0,3,2019,True,0,0,1,0,0
Kenny Ladler,/L/LadlKe00.htm,FS,0,6,2019,True,0,0,0,0,0
Markelle Martin,/M/MartMa00.htm,FS,0,1,2012,False,0,0,0,0,0
Marcus Maye,/M/MayeMa00.htm,FS,0,3,2019,True,0,0,0,0,0
T.J. McDonald,/M/McDoTJ00.htm,FS,0,6,2018,True,0,0,0,0,0
Bradley McDougald,/M/McDoBr01.htm,FS,0,7,2019,True,0,0,0,0,0
Rontez Miles,/M/MileRo00.htm,FS,0,7,2019,True,0,0,0,0,0
Rahim Moore,/M/MoorRa00.htm,FS,0,5,2015,False,0,0,0,0,0
Ryan Murphy,/M/MurpRy00.htm,FS,0,1,2017,False,0,0,0,0,0
Kai Nacua,/N/NacuKa00.htm,FS,0,1,2017,True,0,0,0,0,0
Keanu Neal,/N/NealKe01.htm,FS,0,4,2019,True,0,1,0,0,0
Robert Nelson,/N/NelsRo00.htm,FS,0,4,2017,False,0,0,0,0,0
Eric Pinkins,/P/PinkEr00.htm,FS,0,3,2016,False,0,0,0,0,0
Tyvis Powell,/P/PoweTy01.htm,FS,0,3,2018,True,0,0,0,0,0
Calvin Pryor,/P/PryoCa00.htm,FS,0,4,2017,False,0,0,0,0,0
Bacarri Rambo,/R/RambBa00.htm,FS,0,4,2016,False,0,0,0,0,0
Damarious Randall,/R/RandDa00.htm,FS,0,5,2019,True,0,0,0,0,0
Jeremy Reaves,/R/ReavJe00.htm,FS,0,2,2019,True,0,0,0,0,0
Eric Reid,/R/ReidEr00.htm,FS,0,7,2019,True,0,1,0,0,0
Justin Reid,/R/ReidJu00.htm,FS,0,2,2019,True,0,0,0,0,0
Ed Reynolds,/R/ReynEd00.htm,FS,0,3,2016,False,0,0,0,0,0
Robert Sands,/S/SandRo00.htm,FS,0,2,2012,False,0,0,0,0,0
Tim Scott,/S/ScotTi00.htm,FS,0,1,2017,False,0,0,0,0,0
Justin Simmons,/S/SimmJu00.htm,FS,0,4,2019,True,0,0,0,0,0
Derron Smith,/S/SmitDe05.htm,FS,0,3,2017,False,0,0,0,0,0
Harrison Smith,/S/SmitHa00.htm,FS,0,8,2019,True,0,5,1,0,0
Maurice Smith,/S/SmitMa04.htm,FS,0,3,2019,True,0,0,0,0,0
Daimion Stafford,/S/StafDa00.htm,FS,0,4,2016,False,0,0,0,0,0
D.J. Swearinger,/S/SweaDJ00.htm,FS,0,7,2019,True,0,0,0,0,0
Ahmad Thomas,/T/ThomAh00.htm,FS,0,2,2019,True,0,0,0,0,0
Phillip Thomas,/T/ThomPh00.htm,FS,0,1,2014,False,0,0,0,0,0
Christian Thompson,/T/ThomCh01.htm,FS,0,1,2012,False,0,0,0,1,0
Darian Thompson,/T/ThomDa05.htm,FS,0,4,2019,True,0,0,0,0,0
Michael Tyson,/T/TysoMi00.htm,FS,0,1,2018,True,0,0,0,0,0
Kenny Vaccaro,/V/VaccKe00.htm,FS,0,7,2019,True,0,0,0,0,0
Armani Watts,/W/WattAr00.htm,FS,0,2,2019,True,0,0,0,1,0
